title,link,author,journal,website,abstract,referenced
Measuring the Curie temperature,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2012GC004440,"K Fabian, VP Shcherbakov…","Geochemistry …, 2013",Wiley Online Library,"… temperature apparently lies below the Curie temperature of … TC = 740C above the Néel
temperature of hematite. Gray lines … clear maximum near the Curie temperature of magnetite, but …",139
The Curie temperature of the ferromagnetic transition metals and their compounds,https://iopscience.iop.org/article/10.1088/0305-4608/17/12/016/meta,"P Mohn, EP Wohlfarth","Journal of Physics F: Metal Physics, 1987",iopscience.iop.org,"… The calculation of the Curie temperature of the ferromagnetic 3d metals and … temperatures,
however. it has been reported frequently during the last 10 years that the Curie temperatures, …",248
Curie temperature,https://link.springer.com/content/pdf/10.1007/978-3-030-10475-7_109-1.pdf,V Pasquale,"Encyclopedia of solid earth geophysics, 2019",Springer,"A rock containing magnetic minerals loses its permanent magnetism when heated up to a
critical temperature, referred to as Curie temperature or Curie point, Tc. On the atomic level, …",10
Magnetism of iron above the Curie temperature,https://iopscience.iop.org/article/10.1088/0305-4608/13/1/018/meta,"T Oguchi, K Terakura, N Hamada","Journal of Physics F: Metal …, 1983",iopscience.iop.org,"… For iron above the Curie temperature, we consider a system in which the magnetic moments
of all iron atoms have the same magnitude but are directed randomly. This corresponds to …",230
Methods for estimating Curie temperatures of titanomaghemites from experimentalJs-T data,https://www.sciencedirect.com/science/article/pii/0012821X81900285,BM Moskowitz,"Earth and Planetary Science Letters, 1981",Elsevier,"… Curie temperatures (Tc) are frequently used as an aid in the identification of magnetic
mineralogy in continental and oceanic rocks. In particular, Curie temperature … Curie temperatures …",134
"High Curie temperature piezocrystals in the
perovskite system",https://aip.scitation.org/doi/abs/10.1063/1.1619207,"S Zhang, CA Randall, TR Shrout","Applied physics letters, 2003",aip.scitation.org,"… temperature and was nearly temperature independent until 330 C. High piezoelectric properties
together with a high Curie temperature … , high-temperature actuators and transducers. © …",207
"Size-dependent Curie temperature in nanoscale
particles",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.67.3602,"ZX Tang, CM Sorensen, KJ Klabunde…","Physical Review Letters, 1991",APS,"… Curie temperature studies is an important aspect of our work. lts … We measure the Curie
point in the most direct and … as the temperature is varied through T, with the s, ample in a small …",422
Magnetic cooling near Curie temperatures above 300 K,https://aip.scitation.org/doi/abs/10.1063/1.333046,"H Oesterreicher, FT Parker","Journal of applied physics, 1984",aip.scitation.org,"… A discussion of the relative merits in the choice of materials for cooling near Curie
temperatures will include consideration of suitable Curie temperatures, magnetic moments, and …",804
Curie temperature of nickel,https://akjournals.com/view/journals/10973/105/1/article-p141.xml,"B Legendre, M Sghaier","Journal of thermal analysis and calorimetry, 2011",akjournals.com,"… As the Curie temperature is not a fixed point, no scientific authority has decided what the …
on the Curie temperature, and the authors have not the same Curie temperature value for Ni. …",54
Large increase of the Curie temperature by orbital ordering control,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.046804,"A Sadoc, B Mercey, C Simon, D Grebille, W Prellier…","Physical review …, 2010",APS,"… Using first principle calculations we showed that the Curie temperature of manganites thin
films can be increased by far more than an order of magnitude by applying appropriate strains…",113
